frequency_hz,frequency_mhz,depth_m,depth_mm,path_loss_db,snr_db,tissue_model
2230612244.897959,2230.612244897959,0.025,25.0,16.490308037182494,89.50026817515413,skin+fat+muscle+bone
2289795918.367347,2289.795918367347,0.025,25.0,16.83908617103434,89.08830418808341,skin+fat+muscle+bone
2348979591.836735,2348.979591836735,0.025,25.0,17.18225874914963,88.68184184246843,skin+fat+muscle+bone
2408163265.3061223,2408.1632653061224,0.025,25.0,17.529176896121893,88.26884248302717,skin+fat+muscle+bone
2467346938.7755103,2467.3469387755104,0.025,25.0,17.92787015029136,87.78699276855792,skin+fat+muscle+bone
2526530612.244898,2526.530612244898,0.025,25.0,18.322110664158256,87.3091765668704,skin+fat+muscle+bone
2585714285.714286,2585.714285714286,0.025,25.0,18.712134836562683,86.83515487033034,skin+fat+muscle+bone
2644897959.1836734,2644.8979591836733,0.025,25.0,19.098163331544093,86.36470431223644,skin+fat+muscle+bone
2704081632.6530614,2704.081632653061,0.025,25.0,19.480402476690546,85.89761577345645,skin+fat+muscle+bone
2763265306.122449,2763.265306122449,0.025,25.0,19.859045510137456,85.43369313978928,skin+fat+muscle+bone
2822448979.591837,2822.448979591837,0.025,25.0,20.23427369546474,84.97275219087938,skin+fat+muscle+bone
2881632653.0612245,2881.6326530612246,0.025,25.0,20.6062573209452,84.51461960429609,skin+fat+muscle+bone
2940816326.530612,2940.816326530612,0.025,25.0,20.975156597255726,84.05913206072339,skin+fat+muscle+bone
3000000000.0,3000.0,0.025,25.0,21.34112246579478,83.60613543816618,skin+fat+muscle+bone
100000000.0,100.0,0.030000000000000002,30.000000000000004,-12.902451914083533,121.0403629046592,skin+fat+muscle+bone
159183673.46938777,159.18367346938777,0.030000000000000002,30.000000000000004,-8.514230670172509,116.52148212312434,skin+fat+muscle+bone
218367346.9387755,218.3673469387755,0.030000000000000002,30.000000000000004,-5.545418375376965,113.459602220364,skin+fat+muscle+bone
277551020.40816325,277.55102040816325,0.030000000000000002,30.000000000000004,-3.2941000586756783,111.13054045079411,skin+fat+muscle+bone
336734693.877551,336.734693877551,0.030000000000000002,30.000000000000004,-1.4728655398151669,109.23813434431679,skin+fat+muscle+bone
